Region,Latitude,Longitude,RSL,RSLer_up_2sd,RSLer_low_2sd,Age,Age_up_er_2sd,Age_low_er_2sd,Limiting,Indicator,Region,CC
North Carolina,33.59,-77.88,-24.64,0.51,0.51,11669,968,968,1,1,12,0
North Carolina,34.1,-78,-3.03,0.59,0.59,3644,257,257,0,1,12,0
North Carolina,34.1,-78,-0.93,0.59,0.59,1267,279,279,0,1,12,0
North Carolina,34.1,-78,-8.03,0.6,0.6,6539,617,617,0,1,12,0
North Carolina,34.1,-78,-4.23,0.6,0.6,3916,324,324,0,1,12,0
North Carolina,34.1,-78,-3.43,0.6,0.6,3647,258,258,0,1,12,0
North Carolina,34.1,-78,-3.03,0.6,0.6,3644,257,257,0,1,12,0
North Carolina,34.1,-78,-5.53,0.63,0.63,4333,488,488,0,1,12,0
North Carolina,34.7,-77.1,-1.27,0.58,0.58,1646,244,244,0,1,12,0
North Carolina,34.7,-77.1,-0.77,0.58,0.58,1056,358,358,0,1,12,0
North Carolina,34.8,-76.49,-1.91,0.25,0.25,2197,485,485,0,1,12,0
North Carolina,34.8,-76.49,-0.73,0.25,0.25,585,585,585,0,1,12,0
North Carolina,34.8,-76.49,-2.43,0.19,0.19,6535,321,321,1,1,12,0
North Carolina,34.8,-76.49,-2.01,0.19,0.19,3581,701,701,1,1,12,0
North Carolina,34.9,-76.26,-2.91,0.51,0.51,1127,136,136,-1,1,12,0
North Carolina,34.97,-76.38,-1.19,0.2,0.2,1553,136,136,0,1,12,0
North Carolina,34.97,-76.38,-0.97,0.2,0.2,1248,65,65,0,1,12,0
North Carolina,34.97,-76.38,-0.67,0.2,0.2,832,89,89,0,1,12,0
North Carolina,34.97,-76.38,-0.47,0.2,0.2,413,96,96,0,1,12,0
North Carolina,34.97,-76.38,-0.36,0.2,0.2,404,89,89,0,1,12,0
North Carolina,34.97,-76.38,-1.15,0.21,0.21,862,67,67,0,1,12,0
North Carolina,34.97,-76.38,-1.04,0.21,0.21,797,104,104,0,1,12,0
North Carolina,34.97,-76.38,-0.8,0.21,0.21,572,63,63,0,1,12,0
North Carolina,34.97,-76.38,-0.55,0.21,0.21,150,150,150,0,1,12,0
North Carolina,34.971,-76.38,-1.33,0.06,0.06,958,193,193,0,1,12,1
North Carolina,34.971,-76.38,-1.3,0.06,0.06,938,179,179,0,1,12,1
North Carolina,34.971,-76.38,-1.3,0.06,0.06,925,168,168,0,1,12,1
North Carolina,34.971,-76.38,-1.23,0.06,0.06,906,153,153,0,1,12,1
North Carolina,34.971,-76.38,-1.26,0.06,0.06,873,125,125,0,1,12,1
North Carolina,34.971,-76.38,-1.22,0.06,0.06,853,107,107,0,1,12,1
North Carolina,34.971,-76.38,-1.23,0.06,0.06,840,96,96,0,1,12,1
North Carolina,34.971,-76.38,-1.08,0.06,0.06,802,68,68,0,1,12,1
North Carolina,34.971,-76.38,-1.08,0.06,0.06,783,63,63,0,1,12,1
North Carolina,34.971,-76.38,-1.05,0.06,0.06,770,59,59,0,1,12,1
North Carolina,34.971,-76.38,-1.01,0.06,0.06,750,52,52,0,1,12,1
North Carolina,34.971,-76.38,-1,0.06,0.06,735,46,46,0,1,12,1
North Carolina,34.971,-76.38,-0.97,0.06,0.06,707,46,46,0,1,12,1
North Carolina,34.971,-76.38,-0.96,0.06,0.06,689,46,46,0,1,12,1
North Carolina,34.971,-76.38,-0.97,0.06,0.06,664,46,46,0,1,12,1
North Carolina,34.971,-76.38,-0.88,0.06,0.06,605,42,42,0,1,12,1
North Carolina,34.971,-76.38,-0.84,0.06,0.06,588,40,40,0,1,12,1
North Carolina,34.971,-76.38,-0.84,0.06,0.06,562,34,34,0,1,12,1
North Carolina,34.971,-76.38,-0.82,0.06,0.06,537,25,25,0,1,12,1
North Carolina,34.971,-76.38,-0.73,0.06,0.06,503,28,28,0,1,12,1
North Carolina,34.971,-76.38,-0.71,0.06,0.06,483,30,30,0,1,12,1
North Carolina,34.971,-76.38,-0.67,0.06,0.06,460,30,30,0,1,12,1
North Carolina,34.971,-76.38,-0.65,0.06,0.06,428,34,34,0,1,12,1
North Carolina,34.971,-76.38,-0.66,0.06,0.06,408,35,35,0,1,12,1
North Carolina,34.971,-76.38,-0.63,0.06,0.06,379,32,32,0,1,12,1
North Carolina,34.971,-76.38,-0.59,0.06,0.06,359,27,27,0,1,12,1
North Carolina,34.971,-76.38,-0.56,0.06,0.06,346,27,27,0,1,12,1
North Carolina,34.971,-76.38,-0.64,0.06,0.06,327,28,28,0,1,12,1
North Carolina,34.971,-76.38,-0.63,0.06,0.06,309,29,29,0,1,12,1
North Carolina,34.971,-76.38,-0.62,0.06,0.06,300,28,28,0,1,12,1
North Carolina,34.971,-76.38,-0.57,0.06,0.06,283,26,26,0,1,12,1
North Carolina,34.971,-76.38,-0.56,0.06,0.06,258,29,29,0,1,12,1
North Carolina,34.971,-76.38,-0.53,0.06,0.06,235,33,33,0,1,12,1
North Carolina,34.971,-76.38,-0.54,0.06,0.06,223,33,33,0,1,12,1
North Carolina,34.971,-76.38,-0.48,0.06,0.06,190,29,29,0,1,12,1
North Carolina,34.971,-76.38,-0.43,0.06,0.06,165,21,21,0,1,12,1
North Carolina,34.971,-76.38,-0.46,0.06,0.06,124,16,16,0,1,12,1
North Carolina,34.971,-76.38,-0.4,0.06,0.06,98,19,19,0,1,12,1
North Carolina,34.971,-76.38,-0.4,0.06,0.06,85,18,18,0,1,12,1
North Carolina,34.971,-76.38,-0.26,0.06,0.06,34,6,6,0,1,12,1
North Carolina,34.971,-76.38,-0.24,0.06,0.06,26,6,6,0,1,12,1
North Carolina,34.971,-76.38,-0.21,0.06,0.06,23,6,6,0,1,12,1
North Carolina,34.971,-76.38,-0.15,0.06,0.06,15,5,5,0,1,12,1
North Carolina,34.971,-76.38,-0.18,0.06,0.06,11,5,5,0,1,12,1
North Carolina,34.971,-76.38,-0.16,0.06,0.06,4,5,5,0,1,12,1
North Carolina,34.971,-76.38,-0.08,0.06,0.06,-6,2,2,0,1,12,1
North Carolina,34.971,-76.38,-0.07,0.06,0.06,-9,2,2,0,1,12,1
North Carolina,34.971,-76.38,-0.07,0.06,0.06,-11,3,3,0,1,12,1
North Carolina,34.971,-76.38,0,0.06,0.06,-23,4,4,0,1,12,1
North Carolina,34.971,-76.38,-0.01,0.06,0.06,-27,4,4,0,1,12,1
North Carolina,34.971,-76.38,0,0.06,0.06,-36,5,5,0,1,12,1
North Carolina,34.971,-76.38,-1.21,0.08,0.08,819,76,76,0,1,12,1
